,Unnamed: 0,survey,mturk,Q25_1,Q25_2,Q25_3,Q25_4,Q25_5,Q25_6,Q25_7,Q25_8,Q25_9,Q25_10,Extraversion,Agreeableness,Conscientiousness,Emotional_Stability,Openness_to_Experience,trustworthy,lively,natural,boring,empathetic,respectful,cold,attractive,polite,engaging,Q02
0,0,1,1,6.0,10.0,10.0,8.0,6,6,10,10,10,10,6.0,10.0,10.0,9.0,8.0,0.523491221411342,0.3914539881822225,0.3927500882864363,-0.114040689143962,0.1493857272621701,0.4367624993628096,-0.2014174612446015,0.2374105494149164,0.4587687049009961,0.3254353715676628,1
1,1,1,2,9.0,8.0,9.0,8.0,9,8,9,8,9,8,8.5,8.5,8.5,8.5,8.5,1.2,-0.6333333333333333,1.2,-0.6333333333333333,1.2,-0.6333333333333333,1.2,-0.6333333333333333,1.2,-0.6333333333333333,2
2,2,1,3,8.0,8.0,9.0,9.0,9,9,8,8,10,8,8.5,8.0,8.5,9.5,8.5,0.8024152784110774,0.2298595101346092,0.3858833652414714,-0.9076885191604842,0.2222960028767663,0.5645977421218624,-0.4653867799153878,0.2707563507257855,0.7463914233042152,0.8842089595934302,1
3,3,1,4,9.0,9.0,7.0,8.0,8,9,8,9,9,9,9.0,8.5,8.0,8.5,8.5,0.4200969609570925,0.740839845764912,0.5471350700276688,-1.1628745782741867,-0.0006459238507272,1.0120265317970525,-1.124133623126738,0.9732855766496036,0.0326874094826061,1.128249397239398,2
4,4,1,5,9.0,7.0,9.0,8.0,8,7,10,10,8,7,8.0,8.5,9.5,8.0,7.5,1.126205250799083,0.3700173941355179,0.5100521824065485,-0.64355945709503,-0.2794690075903502,0.7061008859859915,-0.3808440868489205,0.298024351789724,0.2526631878395661,0.8741426319112282,1
5,5,1,6,9.0,6.0,9.0,9.0,9,6,9,10,8,10,7.5,7.5,9.5,8.5,9.5,0.892395317875271,0.5182609722467785,0.7356769798130304,-0.8354857322511475,0.1714909627889636,0.7063229779214674,-0.6434443951346881,0.2282093008512044,0.3889069703552154,0.6043333122005824,2
6,6,3,7,9.0,8.0,9.0,9.0,9,8,8,9,9,9,8.5,8.0,9.0,9.0,9.0,0.4117522123907281,0.0291932153363603,0.1323716814139005,0.0307824483751304,0.2720619469023144,0.6228768436621189,0.0641157817084638,0.4498532448403717,0.3419070796465212,0.3450855457240614,2
7,7,3,8,9.0,9.0,8.0,9.0,9,6,8,9,6,9,7.5,8.5,8.5,7.5,9.0,0.6692076996109587,0.658481593491407,0.5799338057305105,-1.9986950324965544,0.2776237757811539,0.982243835679867,-0.3990260038440016,0.5745707526707344,0.5971779798845162,0.6584815934914069,1
8,8,3,9,9.0,7.0,9.0,9.0,9,9,7,9,9,9,9.0,7.0,9.0,9.0,9.0,0.7778536198936646,0.7184929217702278,0.4513697802147616,-0.5650680564268958,-0.1719175500813261,0.7111869532269981,-0.5947484054886144,0.6518262551035612,-0.0531961538344523,0.7408673022887164,2
9,9,3,10,9.0,7.0,8.0,8.0,9,8,9,8,8,8,8.5,8.0,8.0,8.0,8.5,0.5230413701293403,0.5230413701293403,0.2940577121211493,-0.2146331320334805,-0.0639096038952325,0.4505779718610354,0.2491309155845396,0.2940577121211493,0.2940577121211493,0.4505779718610354,2
10,10,3,11,9.0,10.0,10.0,9.0,8,9,7,10,10,9,9.0,8.5,10.0,9.5,8.5,0.7618283797658159,0.5109040726528048,0.9762708816347626,-1.417778586483006,-0.5090842718942087,0.6649768516765467,-0.300938713846724,0.8429375483014291,0.5536828217183313,0.4838676831409335,2
11,11,2,12,10.0,9.0,9.0,8.0,10,9,9,10,9,9,9.5,9.0,9.5,8.5,9.5,0.3366811871531577,0.6049451073337896,0.4372620066127814,-1.1360840838395572,0.2362455725584399,0.6049451073337895,0.3033478538198244,0.2703049302163028,0.4372620066127814,0.6384236455320288,1
12,12,2,13,8.0,7.0,8.0,7.0,9,6,8,7,8,7,7.0,7.5,7.5,7.5,8.0,0.1315017817463258,0.1147740465906444,0.3818071241913993,0.4151404575247325,0.5152625945027619,0.3984127223690512,0.0814407132573111,0.2148961835686738,0.3317460557023846,0.3150183205467032,2
