,trustworthy,lively,natural,empathetic,respectful,cold,engage,gender,Extraversion,Agreeableness,Conscientiousness,Emotional Stability,Openness to Experience
0,-0.325263938,0.446781166,-0.147552411,0.056503726,0.459545829,1.890563107,0.238470141,1,3.5,5,5.5,6,5.5
1,0.694657889,0.62028035,0.579614821,0.369333658,0.335621648,0.003343899,0.206671543,1,4,3.5,4,4,4.5
2,0.790835992,0.167295408,0.156873006,0.378616404,0.4790657,0.162084207,0.484276902,2,4.5,4,5,5,4.5
3,-0.625543268,0.339262094,0.595332577,0.434500189,0.297571807,0.97054516,0.893093346,1,3,5,4.5,4,3.5
4,0.739101566,0.444453057,0.461308716,0.318451574,0.843273884,-0.458373704,0.461308716,2,6,6,6,5,6
5,0.57038955,0.573406212,0.071305603,0.970626461,1.107450279,-0.322897984,-0.160756311,2,2,4,3.5,2.5,4.5
6,0.352363531,0.638164922,0.047531943,0.67626887,0.92392276,0.199947737,-0.028675954,1,4,5,5,5,5
7,0.044046363,0.971644943,0.116523257,0.097879872,0.199332429,-0.003572685,1.336050584,2,4.5,5,3.5,4,5
8,0.200107007,0.817592301,-0.328496535,1.004109158,1.281904777,0.044537179,-0.114991983,2,2.5,4,6,3,4.5
9,0.775819728,0.019235403,0.674538974,0.623898597,0.525639172,-0.689729875,0.927740859,2,4.5,4.5,4.5,3.5,4
10,0.85771541,0.80303623,0.81244974,0.440910869,0.719565022,-1.867638305,0.900627702,2,6,5.5,6,6,5
11,0.454332002,0.370023144,0.386416999,0.159250998,0.77127148,0.091335995,0.338797952,1,2.5,5,5.5,6,6
12,0.470255415,0.194432898,0.2936277,0.240073592,0.704393946,0.200367959,0.658753252,1,3,6,6,6,5.5
13,0.487073053,0.372774903,0.487073053,0.448952943,0.677518153,0.26803787,0.020474786,2,5.5,5.5,5,5.5,5.5
14,0.62869348,0.514468791,-0.362576044,1.048229304,1.276831245,-0.743680989,0.352319927,2,6,5.5,6,6,6
15,0.693105627,0.451432797,0.255232461,0.352617111,0.932631901,-0.614789725,0.786912685,2,2,6,6,3.5,5.5
16,0.925753732,0.809893976,0.857513023,-1.257948933,0.311587357,0.58455019,0.721031607,1,4,4.5,4,4,4
17,2.047812351,0.254349304,0.301968352,-0.31893897,0.301968352,-0.31893897,0.446065296,1,5.5,3,5.5,4.5,5.5
18,0.787101837,0.533581594,-0.004308899,0.248539326,1.064095594,-0.170639557,0.589249153,1,4.5,5,6,5.5,6
19,0.935743233,-0.04704552,0.245426055,0.199496329,0.442659534,0.197807007,0.787818124,1,4.5,5,5,5,4.5
20,-0.057067768,0.880785688,-0.040500964,-0.102605451,0.667540656,1.39214908,0.021603523,1,2,2,4.5,2,4
21,0.553773971,0.389299217,1.079624647,-0.194979312,0.83510443,-0.125742654,0.272443511,2,5,4,5.5,4.5,5
22,0.676531928,0.40417919,0.15738412,0.239260667,0.534840214,0.322302643,0.570263143,1,4,5,6,4.5,5
23,0.72887131,0.464696543,0.50777558,0.169902237,0.470926292,0.007195314,0.50777558,2,5,6,5.5,5,6
24,0.781295014,0.495897412,0.686373602,0.448436706,0.781295014,-0.975384469,0.543991485,2,6,6,6,6,6
25,0.14493301,0.508084986,0.728379819,0.192552057,0.546803831,0.323542264,0.508084986,1,4,4,4,3,4
26,0.574532305,0.261542129,0.694735379,0.286507108,0.213923082,0.226405571,0.647116331,1,4.5,3,4,3.5,4.5
27,0.698228518,0.646888088,0.698228518,0.248087715,0.654330852,-0.885808828,0.654330852,1,4.5,5,5.5,6,4.5
28,0.971375821,0.178065298,0.521867218,-0.32953094,0.622339607,-0.178822357,0.976610115,1,5,5,5.5,4.5,5.5
29,1.120267116,0.977089716,0.928189638,-1.323996928,0.40117754,-0.029635691,0.593575275,1,5,4,5.5,4,5
30,0.778562448,0.429636997,0.374221891,0.683492892,0.937180247,-0.981994001,0.49318524,1,2.5,5.5,5.5,4,2.5
31,0.05880173,1.065082959,0.05880173,0.585751868,0.250534166,0.777484304,0.346400384,1,3.5,3.5,3.5,3.5,3.5
32,0.686008904,0.520831333,0.686008904,-0.051333785,0.616069428,0.091523358,0.546129952,1,4,5,6,5,6
33,-0.253061582,0.186154325,0.799413281,0.838815757,0.704175185,0.312578326,0.316686612,1,4,4,4.5,4.5,3.5
34,0.599498637,0.15751888,0.200668484,0.523113186,0.699206175,0.057811342,0.333611869,2,5.5,5.5,5.5,5.5,4.5
35,0.380952381,0.51981867,0.450385525,0.380952381,0.51981867,-0.013832389,0.333333333,2,4.5,3.5,4,4.5,4
36,0.873994898,0.537675454,0.758514739,-0.145084467,0.401953231,-0.155205499,0.585294501,1,4.5,4.5,4.5,5.5,5
37,0.057340695,0.456994479,-0.066238017,0.104959743,0.863074405,1.535590188,-0.380292921,2,2,5,5,4.5,4.5
38,0.586495726,0.586495726,0.793981819,-0.564888071,0.106894588,0.634114773,0.666429249,1,3.5,4,4,4,4
39,0.586495726,0.586495726,0.793981819,-0.564888071,0.106894588,0.634114773,0.666429249,1,3.5,4,4,4,4
40,0.525564118,0.354242809,-0.209094759,0.765413951,1.018618569,-0.209094759,0.373397691,2,2,6,6,6,3
41,0.375155224,0.701449609,0.063560697,0.547412082,0.375155224,0.298136461,0.639130703,2,3.5,4,4,4,3.5
42,-0.138100208,-0.366023867,0.234991505,0.174889968,0.595600728,0.836006877,1.424539759,2,4.5,4.5,3.5,4,3.5
43,1.279160755,0.983453154,1.031072202,-0.883481954,-0.244447703,0.061253213,0.439656999,1,5.5,3.5,5,4,6
44,-0.314025374,0.013481798,0.007511386,0.436227066,0.66252573,0.596995446,1.406807757,2,4,4,5,4,3.5
45,0.291765032,0.3312046,0.727058113,-0.317645282,0.505321833,0.639999497,0.727058113,1,4,4.5,4.5,4,3.5
46,1.014060544,0.454589572,0.758134582,-0.369156547,0.333171568,-0.187029541,0.662896487,1,4.5,3,5,4.5,5
47,1.015699487,0.573452425,0.584092278,0.285714286,0.644375033,-0.721369202,0.332321407,2,6,6,6,5.5,5.5
48,0.67381397,0.759849867,0.530688819,0.311533996,0.71196281,-0.4514428,0.2254981,2,5,6,6,5,5.5
49,0.480114268,0.673028473,0.780780833,-0.396856896,0.888533194,-0.048571283,0.384876173,1,4.5,3.5,4.5,5,5.5
50,0.721390719,0.673771671,0.8520095,-0.526274084,0.317296013,0.317296013,0.454033976,1,4.5,4.5,3.5,3.5,3.5
51,0.479199838,0.785979655,0.763084796,-0.26576951,0.18386745,0.538266315,0.467752408,1,4,5,5.5,4.5,4
52,0.202428761,0.434707633,0.686737098,0.202428761,0.304633969,0.263982035,0.857462695,1,4.5,5,4,4,5.5
53,0.893469758,0.722191426,-0.819313561,0.550913094,0.550913094,0.550913094,0.550913094,1,4,4,4,4,4
54,0.922156837,0.663001186,0.262821132,0.192308931,0.451464582,-0.394681832,0.474357736,1,4.5,3.5,3.5,4.5,4.5
55,0.142850348,0.742206655,0.004916033,0.466338025,0.949108127,0.211817505,0.673239497,1,4,4,4,3,4.5
56,0.879435878,0.696529696,0.747933747,0.433525433,0.66026566,-1.4037194,0.7003147,1,4.5,4.5,5,5.5,4.5
57,0.874139592,0.498993291,0.354310068,0.626586112,0.641850434,-0.692981141,0.5542445,1,4.5,5,5,4.5,5
58,-0.467683747,0.259595476,0.943918154,0.734791947,0.577947291,0.364158579,0.730129442,1,3.5,4,3.5,4,4
59,0.856787961,0.882279054,1.003008241,-0.360593322,0.125686564,0.125686564,0.224287796,1,4,4,4.5,4.5,4.5
60,-0.40071666,0.027479169,-0.562396063,1.236026422,1.407304753,-0.305478565,1.407304753,2,3,5,5,4,5
61,1.058440399,0.493265864,-0.218372931,-0.054833282,0.363876993,0.41149604,0.946126916,2,4,4,5,5,5
62,0.818564769,0.554375732,-0.766569452,0.554375732,0.46631272,0.642438744,0.730501756,1,4,4,4,4,4
