,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,survey,fname,order_in_survey,trustworthy,lively,natural,empathetic,respectful,cold,engaging,text,Flesch_reading,num_word,gender,pitch,intensity,rate,mean_pitch,mean_intensity,Duration,speaking_rate,base_name,normalized_filename
0,0,0,0,0,0,0,28,1_F_intensity_x-loud_pitch_low_rate_slow.wav,1,-0.214832916,0.145544141,-0.550480758,0.595836879,0.131562384,0.10886654,0.102479428,1,100.75,9,F,low,x-loud,slow,131.67316033813353,35.397116374881946,2.975736961451247,181.46765221367065,1_F_intensity_x-loud_pitch_low_rate_slow,1_F_intensity_x-loud_pitch_low_rate_slow.wav
1,1,1,1,1,1,1,28,1_M_intensity_x-loud_pitch_medium_rate_slow.wav,2,0.39316943,-0.097071488,-0.139532435,-0.389138943,0.124571505,-0.228158755,0.131562384,1,100.75,9,M,medium,x-loud,slow,107.28245520121644,36.30907147874371,2.845124716553288,189.7983581732685,1_M_intensity_x-loud_pitch_medium_rate_slow,1_M_intensity_x-loud_pitch_medium_rate_slow.wav
2,2,2,2,2,2,2,28,2_F_intensity_x-soft_pitch_medium_rate_slow.wav,3,0.380565126,0.122074611,-0.152136739,0.588846,-0.153514193,-0.60690759,0.305146877,2,92.29,9,F,medium,x-soft,slow,163.88483096623605,33.58097642486779,3.263083900226757,165.48762352156328,2_F_intensity_x-soft_pitch_medium_rate_slow,2_F_intensity_x-soft_pitch_medium_rate_slow.wav
3,3,3,3,3,3,3,28,2_M_intensity_x-loud_pitch_medium_rate_fast.wav,4,-0.746761094,0.308417456,-0.537102767,-0.07671849,0.380565126,0.281677347,-0.046861848,2,92.29,9,M,medium,x-loud,fast,105.0203519282112,20.55899550175186,1.9308390022675737,279.6711685261304,2_M_intensity_x-loud_pitch_medium_rate_fast,2_M_intensity_x-loud_pitch_medium_rate_fast.wav
4,4,4,4,4,4,4,28,3_F_intensity_x-soft_pitch_medium_rate_slow.wav,5,-0.31933412,0.41663896,-0.040644656,0.39316943,0.536897281,-0.633493652,0.536897281,3,100.24,5,F,medium,x-soft,slow,162.73333001742904,64.36290854444603,1.5151020408163265,198.0064655172414,3_F_intensity_x-soft_pitch_medium_rate_slow,3_F_intensity_x-soft_pitch_medium_rate_slow.wav
5,5,5,5,5,5,5,28,3_M_intensity_x-soft_pitch_low_rate_slow.wav,6,-0.012165467,-1.148979459,0.17402333,0.536897281,0.223459284,-0.123657551,0.61231553,3,100.24,5,M,low,x-soft,slow,201.80973894443025,62.339347746499264,1.3039002267573696,230.0789537755209,3_M_intensity_x-soft_pitch_low_rate_slow,3_M_intensity_x-soft_pitch_low_rate_slow.wav
6,6,6,6,6,6,6,28,4_F_intensity_x-soft_pitch_medium_rate_slow.wav,7,0.588846,0.536897281,-0.186471495,0.801001221,1.14739652,-0.798709813,0.513427751,4,115.13,7,F,medium,x-soft,slow,157.36752542236255,64.71861531994263,1.852471655328798,226.72411682620512,4_F_intensity_x-soft_pitch_medium_rate_slow,4_F_intensity_x-soft_pitch_medium_rate_slow.wav
7,7,7,7,7,7,7,28,4_M_intensity_x-loud_pitch_low_rate_fast.wav,8,-0.331938425,0.125345191,-0.330560972,-0.145749627,0.144940375,0.056144135,-0.145749627,4,115.13,7,M,low,x-loud,fast,91.73731187715474,69.31926675984236,1.1210430839002268,374.6510781180468,4_M_intensity_x-loud_pitch_low_rate_fast,4_M_intensity_x-loud_pitch_low_rate_fast.wav
8,8,8,8,8,8,8,28,5_F_intensity_x-soft_pitch_medium_rate_slow.wav,9,-0.610024122,-0.152740506,-0.059466153,-0.626502773,0.073396472,0.807992099,-0.145749627,5,100.24,5,F,medium,x-soft,slow,161.55308394870048,63.668540163716166,1.4083900226757369,213.0091772661408,5_F_intensity_x-soft_pitch_medium_rate_slow,5_F_intensity_x-soft_pitch_medium_rate_slow.wav
9,9,9,9,9,9,9,28,5_M_intensity_x-soft_pitch_medium_rate_fast.wav,10,-0.53848022,-0.093800908,-0.949428543,-0.31933412,-0.289477478,-0.199075799,-0.129270976,5,100.24,5,M,medium,x-soft,fast,96.09899112,65.33050445245877,0.912063492,328.92446919596244,5_M_intensity_x-soft_pitch_medium_rate_fast,5_M_intensity_x-soft_pitch_medium_rate_fast.wav
10,10,10,10,10,10,10,28,6_F_intensity_x-loud_pitch_medium_rate_medium.wav,11,0.310760302,0.167032451,0.536897281,0.95171995,0.605324651,-0.756248866,0.386178551,6,106.67,14,F,medium,x-loud,medium,167.70422871473068,42.64850379769791,3.4459410430839004,243.76505270915865,6_F_intensity_x-loud_pitch_medium_rate_medium,6_F_intensity_x-loud_pitch_medium_rate_medium.wav
11,11,11,11,11,11,11,28,6_M_intensity_x-loud_pitch_medium_rate_medium.wav,12,-0.468675397,0.262082163,-0.478163169,0.04353983,-0.145749627,0.184888556,-0.746761094,6,106.67,14,M,medium,x-loud,medium,103.22516943418266,39.19917581038362,3.001859410430839,279.826562523606,6_M_intensity_x-loud_pitch_medium_rate_medium,6_M_intensity_x-loud_pitch_medium_rate_medium.wav
12,12,12,12,12,12,12,28,7_F_intensity_x-loud_pitch_high_rate_fast.wav,13,0.605324651,0.1119672,-0.38776149,0.559763044,0.327238953,-0.815188464,0.529906402,7,82.81,11,F,high,x-loud,fast,200.24481530938164,31.994158713600605,2.6100226757369613,252.87136626644195,7_F_intensity_x-loud_pitch_high_rate_fast,7_F_intensity_x-loud_pitch_high_rate_fast.wav
13,13,13,13,13,13,13,28,7_M_intensity_x-loud_pitch_high_rate_slow.wav,14,0.161419026,0.109470307,-1.439669461,0.177897677,0.756043381,0.373574247,0.086000777,7,82.81,11,M,high,x-loud,slow,138.13704421308432,42.51421394344357,3.472063492063492,190.08868976867515,7_M_intensity_x-loud_pitch_high_rate_slow,7_M_intensity_x-loud_pitch_high_rate_slow.wav
14,14,14,14,14,14,14,28,8_F_intensity_x-soft_pitch_high_rate_medium.wav,15,0.303769423,0.807992099,0.513427751,-0.182597148,0.517302098,-0.03987097,0.513427751,8,96.18,9,F,high,x-soft,medium,211.04066038452063,63.091837276698286,2.009206349206349,238.9003002054037,8_F_intensity_x-soft_pitch_high_rate_medium,8_F_intensity_x-soft_pitch_high_rate_medium.wav
15,15,15,15,15,15,15,28,8_M_intensity_x-loud_pitch_low_rate_slow.wav,16,-0.087583716,0.22096239,0.122074611,0.115083733,-0.584815513,-0.355407955,0.61231553,8,96.18,9,M,low,x-loud,slow,95.10604569796836,69.12347193156685,2.374920634920635,202.1120171,8_M_intensity_x-loud_pitch_low_rate_slow,8_M_intensity_x-loud_pitch_low_rate_slow.wav
16,16,16,16,16,16,16,28,9_F_intensity_x-loud_pitch_high_rate_fast.wav,17,-0.272998827,0.285551693,-0.050736195,-0.626502773,-0.331938425,-0.253403644,0.086000777,9,83.32,5,F,high,x-loud,fast,205.3083870785744,73.67197240033482,1.0949206349206348,273.9924615830676,9_F_intensity_x-loud_pitch_high_rate_fast,9_F_intensity_x-loud_pitch_high_rate_fast.wav
17,17,17,17,17,17,17,28,9_M_intensity_x-loud_pitch_low_rate_fast.wav,18,0.161419026,0.493832568,0.387556004,0.364086474,-0.302855469,0.32801264,0.524292976,9,83.32,5,M,low,x-loud,fast,204.6429624543873,68.31839708184073,1.0165532879818595,295.1148784,9_M_intensity_x-loud_pitch_low_rate_fast,9_M_intensity_x-loud_pitch_low_rate_fast.wav
18,18,18,18,18,18,18,28,10_F_intensity_x-soft_pitch_medium_rate_fast.wav,19,-0.116666672,0.141823842,0.328616407,-0.145749627,0.397043777,0.298155998,-0.041248423,10,90.77,6,F,medium,x-soft,fast,161.0686831861121,64.34635292682361,1.1210430839002268,321.1294955297544,10_F_intensity_x-soft_pitch_medium_rate_fast,10_F_intensity_x-soft_pitch_medium_rate_fast.wav
19,19,19,19,19,19,19,28,10_M_intensity_x-soft_pitch_high_rate_medium.wav,20,0.588846,0.102479428,0.572367349,-0.192084921,0.095488549,0.3749517,0.61231553,10,90.77,6,M,high,x-soft,medium,151.39309278126754,63.65016381,1.4083900226757369,255.6110127193689,10_M_intensity_x-soft_pitch_high_rate_medium,10_M_intensity_x-soft_pitch_high_rate_medium.wav
20,20,20,20,20,20,20,28,9_F_intensity_x-loud_pitch_high_rate_medium.wav,21,-0.041248423,-0.567563176,0.387556004,0.062531247,0.778909144,-0.557471636,0.500823446,9,83.32,5,F,high,x-loud,medium,204.5773584913988,73.49429122598819,1.3822675736961452,217.03467961547287,9_F_intensity_x-loud_pitch_high_rate_medium,9_F_intensity_x-loud_pitch_high_rate_medium.wav
