,Unnamed: 0.1,survey,filename,order_in_survey,trustworthy,lively,natural,boring,empathetic,respectful,cold,engaging,following,file_order,Flesch_reading,num_word,Gender,Intensity,Pitch,Rate,bin_trustworthy,bin_lively,bin_natural,bin_boring,bin_empathetic,bin_respectful,bin_cold,bin_engaging,bin_following,norm_trustworthy,norm_lively,norm_natural,norm_boring,norm_empathetic,norm_respectful,norm_cold,norm_engaging,norm_following,Unnamed: 0,Duration,mean_pitch,mean_intensity,speaking_rate,number,text
0,0,1,1_F_intensity_x-soft_pitch_medium_rate_medium.wav,1,4.0,4.4,3.8,2.4,2.8,3.0,4.0,3.4,3.8,1,55.91,7,F,x-soft,medium,medium,1,1,1,0,0,0,1,0,1,0.6683384158827744,1.1267934130113386,0.4504917964160784,2.4,-0.42462517,-0.404743296,0.7139435576046562,0.051553128,0.4788397518197987,678,2.5839002267573696,153.65471425539658,64.82087048139427,162.54497586660816,1,1
1,1,1,1_M_intensity_x-loud_pitch_low_rate_fast.wav,2,3.4,3.2,3.0,3.4,3.0,3.4,3.0,3.8,3.8,1,55.91,7,M,x-loud,low,fast,0,0,0,0,0,0,0,1,1,0.1576457454762793,-0.062359447,-0.376395341,3.4,-0.345226967,0.082059656,-0.376395341,0.5210988944682357,0.5050291344199533,151,1.8002267573696145,87.43619738319053,70.59362492,233.30394256203556,1,1
2,2,1,2_F_intensity_x-soft_pitch_high_rate_fast.wav,3,4.0,4.0,3.2,2.6,3.4,3.8,4.0,4.0,4.2,2,64.37,7,F,x-soft,high,fast,1,1,0,0,0,1,1,1,1,0.6695258421526535,0.7139435576046562,-0.180204678,2.6,0.065989896,0.5100081253826767,0.7595486993265379,0.6667054239934959,0.9178789898266356,758,1.9830839002267573,190.79735662935755,62.36659824892031,272.3031536579231,2,2
3,3,1,2_M_intensity_medium_pitch_high_rate_medium.wav,4,3.8,3.6,3.8,2.2,3.2,3.6,3.2,3.6,3.8,2,64.37,7,M,medium,high,medium,1,1,1,0,0,1,0,1,1,0.5088206991127977,0.2888155068425359,0.4766811790162329,2.2,-0.104618589,0.255488560476092,-0.107964589,0.3020648487316604,0.5210988944682357,270,2.505532879818594,126.61767245522034,67.04637574414198,215.52301482433435,2,2
4,4,1,3_F_intensity_x-loud_pitch_medium_rate_slow.wav,5,3.6,3.2,2.6,3.4,3.6,4.0,3.6,4.2,4.0,3,87.72,9,F,x-loud,medium,slow,1,0,0,0,1,1,1,1,1,0.3332332222945385,-0.062359447,-0.738661063,3.4,0.351677835,0.7161021304082219,0.2838365158798124,0.9178789898266356,0.6988449440900605,107,3.654920634920635,151.0483262936581,67.99645312,147.7460262312169,3,3
5,5,1,3_M_intensity_x-soft_pitch_low_rate_medium.wav,6,3.6,3.4,3.4,2.8,3.4,3.4,3.4,3.6,3.6,3,87.72,9,M,x-soft,low,medium,1,0,0,0,0,0,0,1,1,0.2715583205243744,0.051553128,0.004314995,2.8,0.067622888,0.020384755,0.1132280300242767,0.255488560476092,0.2403899469614963,513,2.8190022675736963,90.33427230574117,57.27267510271272,191.5571357325568,3,3
6,6,1,4_F_intensity_medium_pitch_high_rate_fast.wav,7,3.4,3.4,3.4,2.8,3.0,3.4,3.2,3.8,3.4,4,84.68,12,F,medium,high,fast,0,0,0,0,0,0,0,1,0,0.1009498346688387,0.1132280300242767,0.082059656,2.8,-0.359138154,0.036454515,-0.124034349,0.4949095118680811,0.039800514,384,2.3226757369614512,196.23638194622967,68.41216642193272,309.9873084057405,4,4
7,7,1,4_M_intensity_x-soft_pitch_high_rate_fast.wav,8,3.4,2.8,2.4,2.4,3.0,3.2,3.0,3.4,3.4,4,84.68,12,M,x-soft,high,fast,0,0,0,0,0,0,0,0,0,0.1144154562941557,-0.533538205,-0.928159727,2.4,-0.3274442,-0.104618589,-0.296275826,0.08108851,0.083247083,427,2.165941043,124.11835396264772,64.85510940969637,332.4190204987542,4,4
8,8,1,5_F_intensity_medium_pitch_low_rate_fast.wav,9,2.6,2.4,2.2,2.4,3.4,3.0,2.8,3.6,3.0,5,84.68,12,F,medium,low,fast,0,0,0,0,0,0,0,1,0,-0.724749876,-0.916407113,-1.163263533,2.4,0.065989896,-0.31137444,-0.563073587,0.3344206485644176,-0.359138154,594,2.374920634920635,121.66458687779732,61.99275549970227,303.16802566501804,5,5
9,9,1,5_M_intensity_x-loud_pitch_high_rate_medium.wav,10,3.4,3.8,3.0,2.0,2.2,3.4,3.6,3.8,3.6,5,84.68,12,M,x-loud,high,medium,0,1,0,0,0,0,1,1,1,0.008106559,0.4353931829014826,-0.462101052,2.0,-1.133282586,0.1153866028278423,0.2576471332796577,0.526077885,0.2749043195978192,232,3.132471655328798,117.42406662258574,67.78517536148495,229.85044374629004,5,5
