,Unnamed: 0.1,Unnamed: 0,survey,MTURK,Extraversion,Agreeableness,Conscientiousness,Emotional_Stability,Openness_to_Experience,trustworthy,lively,natural,boring,empathetic,respectful,cold,attractive,humor,engaging,Q02
0,0,0,12,1,9.0,8.0,7.5,8.5,8.5,1.1275993253433434,-0.7822220590252023,1.1216817519111333,1.0189016339651318,1.167258660012436,-0.7107934875966307,-0.8587328234018862,-0.9658756805447434,0.9303468776030028,0.9161215160191302,2
1,1,1,12,2,8.5,8.0,8.0,8.0,7.0,1.1431196279030615,-0.8176099657073274,1.1155130169343963,1.0066183306197791,1.050220219467969,-0.7442094934952798,-0.8226453816108918,-0.9297882387537488,0.9360700456380714,0.884140410432545,1
2,2,2,12,3,8.0,9.0,8.0,8.5,7.5,1.0661089684088847,-0.7164963565552454,1.1096272009501162,1.0128358023339703,1.064157981702148,-0.7463576821493216,-0.8589183861470097,-0.9303469575755812,1.0126743906063198,0.9152864669971452,1
3,3,3,13,4,8.5,8.0,9.0,9.0,8.0,1.0307462415046318,-0.751159469997336,1.0830158296379655,1.125605864413275,1.099571132057014,-0.7472876486541261,-0.8944168596961036,-0.8587025739818179,0.9958998494157424,0.9524419210150368,2
4,4,4,13,5,9.0,8.0,9.0,8.5,8.0,1.1127488972537896,-0.7508861411047266,1.1127488972537896,1.035480323420604,1.077034611539504,-0.7132251879222362,-0.8949395337518757,-0.85922524803759,0.9966231204481072,0.9193545466149216,2
5,5,5,13,6,8.5,8.0,7.5,8.0,8.0,1.1406330218528349,-0.7859665338499926,1.0502400123915188,0.9871863648037172,1.10352960216735,-0.7463466250109189,-0.8590460180385736,-0.930474589467145,0.9844080968613184,0.912979525432747,1
6,6,6,13,7,8.5,8.0,8.5,8.0,8.5,1.1569549299290398,-0.7477813338606651,1.1627872979853318,1.006537405774344,1.0940229266187245,-0.7776632515186589,-0.8935905352679665,-0.9293048209822522,0.8942822579517281,0.9980408376560876,1
7,7,7,13,8,8.5,8.0,8.0,8.0,8.5,1.1306600557445086,-0.784412370058823,1.1326318673534657,0.9862744547845296,1.156515283414009,-0.7486980843445373,-0.8588978576930667,-0.930326429121638,0.9354507064577692,0.909373802035208,2
8,8,8,3,9,7.0,7.5,8.0,8.5,9.0,1.0014055956441523,-0.8191169835177924,1.0351496188268778,1.0272685687006355,1.0728341670727235,-0.7476884120892209,-0.8577735537104159,-0.8577735537104159,1.0043740987604968,0.9984633111658152,1
9,9,9,3,10,9.0,9.0,8.5,8.5,9.5,1.1109842511428272,-0.7510566432308902,1.099485867457668,1.0503568007773634,1.1167334429854068,-0.7115095629548848,-0.8233578678668069,-0.8947864392953784,0.9710872496400584,1.010634329916064,1
10,10,10,3,11,7.5,8.0,7.0,8.0,8.0,1.0696956216663795,-0.7488739815555009,1.0480885000791995,0.9518385948272168,1.0880885310173276,-0.7429811302135427,-0.894230981323802,-0.9299452670380876,0.9721957879588172,0.9361243245819948,1
11,11,11,3,12,9.0,7.5,6.5,8.5,8.0,1.1240434446910994,-0.7535072744109206,1.0365465074314464,1.0546234189914132,1.0959238044867066,-0.7177929886966349,-0.9298197611471708,-0.9655340468614566,0.9809971605346022,0.8959483064094823,1
12,12,12,3,13,9.5,8.0,8.0,8.5,8.0,1.19343153745255,-0.8231307811679682,1.1430527012893152,0.9564662948121264,1.1604915291919735,-0.7101749813908917,-0.82172190907683,-0.9645790519339728,0.972539717352214,0.8936249434714839,2
13,13,13,3,14,7.0,7.5,7.5,7.0,7.0,1.060190878038703,-0.7855911367794614,1.1042745307292274,0.960020712441878,1.0724666619775198,-0.7816847198168831,-0.8944142786805662,-0.9658428501091376,0.9337888598059968,0.8682199138212923,2
14,14,14,2,15,7.0,8.0,7.5,7.5,7.5,1.064281265611872,-0.7436971121501937,1.110239056354798,0.9976653776647986,1.0647283165306485,-0.7813706886864521,-0.8945625054420948,-0.9659910768706662,0.9001478874849379,0.9271309080737804,1
15,15,15,2,16,9.0,8.0,7.5,7.5,8.0,1.1326707395681914,-0.7806991315460154,1.047706686482632,1.0415422611911107,1.0693765841259923,-0.7132105415071459,-0.8589898529261158,-0.9304184243546872,0.9137473192327676,0.935417216876128,2
16,16,16,2,17,6.5,6.5,6.5,7.5,7.0,1.0784648555925611,-0.8181512760566291,1.0254085199640053,1.0218218163238049,1.0332687178349025,-0.8181512760566291,-0.9298157004216652,-0.9655299861359508,0.8996453540296506,0.9016104034973748,1
17,17,17,2,18,7.0,7.0,7.5,7.0,7.0,1.0762742174737814,-0.8153790797969979,1.112500573720038,0.9447316793187496,1.0572295017933553,-0.7796647940827122,-0.8945377622038849,-0.9659663336324564,0.9144649624428556,0.8860613206815581,1
18,18,18,2,19,10.0,7.0,7.5,7.5,8.5,1.1898687030211816,-0.8182630511717716,1.1365574870112751,0.8905944019807422,1.0994084119427423,-0.6734506938373376,-0.8934755655400407,-0.964904136968612,0.9508121116686108,0.975709474750352,1
19,19,19,1,20,8.0,8.0,9.5,9.5,9.5,0.6811729982487351,-0.6414319199929727,-0.1377574042687153,0.5121546833336581,0.300955311365633,0.66823945557141,0.7624487700369423,0.5414021977092814,0.300955311365633,0.1904320252018025,2
20,20,20,1,21,9.0,9.0,9.5,10.0,9.5,-0.1873718225463993,-0.3327433636821067,0.4668001125642841,1.156686333389254,0.7205717099821312,0.3214285714285765,0.3214285714285766,0.3571428571428623,0.2844570865750085,0.2487428008607229,2
21,21,21,1,22,8.0,7.0,7.5,7.0,7.0,1.2633146839191396,0.5705029132780415,0.8708621370480698,-0.9696128021086788,-0.5711404416208827,1.093772975772801,-0.6068547273351685,0.8291280377170579,-0.5711404416208827,0.6983105220933679,1
22,22,22,1,23,9.0,8.5,8.5,8.0,8.5,-0.8190476071055103,0.2594964425295956,0.557389160090797,0.062862618644409,0.2296661202821524,0.6884783760142549,0.622933768052526,0.4561302664147823,0.1939518345678667,0.7838533062234269,1
23,23,23,1,24,8.5,8.5,8.0,7.5,7.0,1.1458212495081614,-0.0339481812961633,0.9459947700568506,-1.518621343718312,-0.0360137862725066,0.8409175178903368,-0.7385048718166091,0.5339481812961692,0.4055502732734301,1.2762847625072438,1
24,24,24,1,25,7.0,7.0,7.5,7.0,7.0,1.1758794539883817,0.3701260953726267,0.934379673458138,-0.990055395732186,-0.5182065063948506,0.9812446308955748,-0.7695317325215478,0.9504430679795164,-0.3950002547306154,0.7964352533992222,1
25,25,25,2,26,8.5,8.5,6.0,7.0,8.0,0.983746075126802,0.6037111758009626,0.4740912681926165,-0.7779836903948522,0.1117060158651729,0.8942528649823409,0.1161184276147719,0.2862800244044963,-0.4248382532841002,0.4472018059775289,1
26,26,26,2,27,9.5,9.5,8.0,7.5,8.0,0.7293474165470558,0.4955085881351864,0.0115810329342069,-0.1312761099229358,0.2714019533918396,0.6351512420325252,0.4532765977121823,0.1025627184889334,0.2876518517690803,0.1805089946262232,2
27,27,27,2,28,9.5,9.5,9.5,9.5,9.5,0.1034991390869881,0.7335664220965,-0.0285793047563953,0.469409534409733,0.0374599171652963,0.7996056440181919,-0.0285793047563953,0.5354487563314246,0.1034991390869881,0.6675272001748083,2
28,28,28,2,29,9.0,8.0,8.0,8.0,7.0,0.4804988432828331,0.1451160074630928,0.5162131289971188,-0.3942873827267253,0.0609628731351967,0.6717948347535864,0.0966771588494823,0.4148177025580019,0.3663788539443915,0.498970836885898,1
29,29,29,2,30,10.0,8.5,7.0,9.0,7.5,1.1949408208159582,0.2326297089194447,-0.0733419844313239,0.1168051056466662,-0.1090562701456097,0.6544260055429918,0.196915423205159,-0.1061623547689693,0.2326297089194447,0.6602138362962727,1
30,30,30,3,31,8.5,8.0,9.0,9.0,8.5,0.8669254352659274,0.6296963946326039,-0.1253527884308556,-1.1138071244030374,0.3095671193969042,0.7444870272246641,0.6296963946326039,0.6654106803468897,-0.4021200025030665,0.8669254352659274,1
31,31,31,3,32,8.0,9.0,9.0,8.0,9.0,1.1564731815123783,0.3957616478991395,-0.7192344991593943,-0.2770932932771655,1.0329023033611595,0.3600473621848538,-0.188283952941045,0.2364764840336346,0.5193325260503586,0.5550468117646444,2
32,32,32,3,33,10.0,9.0,9.5,10.0,9.5,0.3089887265183882,1.107946038294873,0.2126804652694531,-2.066615050955343,0.3053771945537475,0.7584272790134184,0.4979937170516177,0.7548157470487779,0.7263245252637734,0.8226327865127087,2
33,33,33,3,34,9.5,9.5,9.5,9.5,9.5,1.0150989968387738,0.1414217030211975,1.0150989968387738,-2.2793603203883115,0.7047423271708887,0.451778372689083,0.7047423271708887,0.451778372689083,0.7047423271708887,0.4828140396558716,2
34,34,34,3,35,8.0,7.0,8.0,8.0,8.5,1.063270869949528,0.8349043196209759,0.7905175602817145,-1.2616127502501224,0.6584771422602955,0.7385781873138425,-1.074368848053718,0.6476604174245716,-0.4823312181680818,0.9063328910495472,2
35,35,35,4,36,8.0,8.0,8.0,8.0,9.0,1.184099547129666,-0.0584601450058374,0.3795359428488541,-1.1669259030945387,0.9159116790360622,0.79978512959189,-0.9077217273022496,0.2187114153890813,0.6924217889580587,0.8712137010204615,2
36,36,36,4,37,9.5,9.5,9.5,9.5,9.5,-0.5858138513887304,1.2358107154619806,-0.5143774401432735,1.0929378929710665,-0.3715046176523594,0.9500650704801524,-0.1571953839159884,0.9500650704801524,-0.1571953839159884,0.9500650704801524,2
37,37,37,4,38,8.0,8.5,9.0,7.5,9.0,1.3919808632103217,0.041553236711429,0.4059458576218664,-1.07410415036164,0.3589918097367018,0.5223334777339529,-0.7209512916220817,0.1242215703108793,0.651955859218568,1.2980727674399926,2
38,38,38,4,39,9.0,10.0,9.5,10.0,10.0,0.4813261892463863,0.8111101049626368,0.1467677910800335,-1.2188247430119847,0.0360440720995996,0.5527547606749578,0.5158468543481465,0.7753958192483513,0.5527547606749578,0.811110104962637,2
39,39,39,4,40,8.0,8.0,7.5,8.0,9.5,0.9139784279964228,0.8102317986219819,0.8557237127069433,-0.9113652144269664,-0.7166347568826031,1.063216971455825,-0.2336158957246852,0.6967075408768657,-0.4832048407901115,0.933533684737774,1
40,40,40,4,41,8.0,7.5,9.0,7.5,8.5,1.0177569509266242,-0.0916766582630254,0.9312565311132012,-0.8701804365838336,0.1602886769848182,0.7733275398712064,-0.7912159409628364,0.4555042221393734,0.3765397265183761,0.931256531113201,1
41,41,41,4,42,8.5,8.0,8.0,8.5,7.5,-0.2764731802419978,-0.2080786759643784,0.5043427446972901,0.0521932990153842,0.0001389040194317,0.0195130804520506,0.2277306604358607,0.400233954705385,0.6278257111218138,1.5454306446163406,1
42,42,42,4,43,8.0,8.0,8.5,8.5,8.5,0.9909249107981338,0.3405775114786593,0.7354971953310143,-0.3711029358536645,0.0885149704834471,0.4086409084353234,-0.2996743644250928,0.4409900196777017,-0.0051671887717805,0.6350846871319717,1
43,43,43,5,44,9.5,8.5,9.0,8.0,8.0,0.8312236361630992,0.7428198677120251,0.4418942766445167,0.300801025456654,0.1239934885545056,0.2186436199028407,-0.0001245656108542,0.3365153111709397,0.0230969943089094,0.0525649171259342,2
